marketId,outcome,finalBtcPrice,strikePrice,priceDiff,priceDiffPct,yesShares,noShares,yesCost,noCost,totalCost,yesPayout,noPayout,totalPayout,pnl,roi
0x07d4e905f4b00d,DOWN,90324.34,90340.67,-16.33,-0.0181%,0,50,0.0000,20.9000,20.9000,0.0000,50.0000,50.0000,29.1000,139.23%
0xda2a79bdfd6a5a,DOWN,90335.92,90340.44,-4.52,-0.0050%,10,10,1.3000,5.7000,7.0000,0.0000,10.0000,10.0000,3.0000,42.86%
0x9f39cca9787ef8,DOWN,90323.01,90326.83,-3.82,-0.0042%,10,0,1.7000,0.0000,1.7000,0.0000,0.0000,0.0000,-1.7000,-100.00%
0xc6712a93802fe7,DOWN,90148.08,90333.99,-185.91,-0.2058%,0,10,0.0000,6.5000,6.5000,0.0000,10.0000,10.0000,3.5000,53.85%
0xe8f8cafd1c8d66,UP,90326.24,90318.44,7.80,0.0086%,0,20,0.0000,2.1000,2.1000,0.0000,0.0000,0.0000,-2.1000,-100.00%
0xc4119901335ee4,DOWN,90376.38,90388.05,-11.67,-0.0129%,0,40,0.0000,19.1000,19.1000,0.0000,40.0000,40.0000,20.9000,109.42%
0x602a4026f01ff0,DOWN,90311.12,90355.15,-44.03,-0.0487%,0,20,0.0000,9.3000,9.3000,0.0000,20.0000,20.0000,10.7000,115.05%
0xc04c3e2a66fae2,UP,90332.93,90292.76,40.17,0.0445%,0,30,0.0000,9.0000,9.0000,0.0000,0.0000,0.0000,-9.0000,-100.00%
0x046aebe2ce0e7b,UP,90381.94,90349.54,32.40,0.0359%,0,30,0.0000,6.9000,6.9000,0.0000,0.0000,0.0000,-6.9000,-100.00%
0x288e39695c07dd,DOWN,90595.13,90618.67,-23.54,-0.0260%,0,10,0.0000,7.1000,7.1000,0.0000,10.0000,10.0000,2.9000,40.85%
0x03e193be426727,DOWN,90543.72,90604.09,-60.37,-0.0666%,0,20,0.0000,12.2000,12.2000,0.0000,20.0000,20.0000,7.8000,63.93%
0xbec6a72c156a4d,DOWN,90330.36,90376.43,-46.07,-0.0510%,10,80,4.2000,40.6000,44.8000,0.0000,80.0000,80.0000,35.2000,78.57%
0xf8463873929830,UP,90427.88,90355.53,72.35,0.0801%,0,10,0.0000,3.3000,3.3000,0.0000,0.0000,0.0000,-3.3000,-100.00%
0x4dd0a7de73e2ee,DOWN,90295.00,90344.07,-49.07,-0.0543%,10,40,6.0000,13.7000,19.7000,0.0000,40.0000,40.0000,20.3000,103.05%
0x8e595ec31cd08e,UP,90341.05,90320.11,20.94,0.0232%,0,80,0.0000,27.2000,27.2000,0.0000,0.0000,0.0000,-27.2000,-100.00%
0xe74b68ac7f9d31,DOWN,90236.60,90242.79,-6.19,-0.0069%,0,50,0.0000,13.4000,13.4000,0.0000,50.0000,50.0000,36.6000,273.13%
0x41261501c4d74b,DOWN,90245.87,90249.62,-3.75,-0.0042%,0,50,0.0000,8.0000,8.0000,0.0000,50.0000,50.0000,42.0000,525.00%
0x51f9210bc9566f,DOWN,89961.12,90309.73,-348.61,-0.3860%,0,20,0.0000,11.6000,11.6000,0.0000,20.0000,20.0000,8.4000,72.41%
0x1ea9cd3a8fbc1d,DOWN,90102.58,90154.89,-52.31,-0.0580%,0,10,0.0000,5.5000,5.5000,0.0000,10.0000,10.0000,4.5000,81.82%
0xa1f90c890efcc7,DOWN,90050.01,90092.31,-42.30,-0.0469%,0,60,0.0000,32.2000,32.2000,0.0000,60.0000,60.0000,27.8000,86.34%
0x688dc5feb3e0b0,UP,90087.28,90072.29,14.99,0.0166%,0,50,0.0000,4.3000,4.3000,0.0000,0.0000,0.0000,-4.3000,-100.00%
0x1a25ddd79a2bad,DOWN,90140.01,90169.53,-29.52,-0.0327%,0,10,0.0000,2.5000,2.5000,0.0000,10.0000,10.0000,7.5000,300.00%
0xc58b1accee0fd4,DOWN,90130.41,90191.91,-61.50,-0.0682%,0,20,0.0000,12.2000,12.2000,0.0000,20.0000,20.0000,7.8000,63.93%
0x1e996dfedc8969,DOWN,90137.53,90176.01,-38.48,-0.0427%,0,10,0.0000,4.8000,4.8000,0.0000,10.0000,10.0000,5.2000,108.33%
0x7e4de3242f8ff3,DOWN,90088.31,90158.71,-70.40,-0.0781%,0,40,0.0000,15.3000,15.3000,0.0000,40.0000,40.0000,24.7000,161.44%
0xec4c76e3fcb121,DOWN,89962.32,90018.79,-56.47,-0.0627%,0,50,0.0000,25.7000,25.7000,0.0000,50.0000,50.0000,24.3000,94.55%
0x9450de317d91e7,DOWN,90051.92,90187.39,-135.47,-0.1502%,10,20,4.7000,8.3000,13.0000,0.0000,20.0000,20.0000,7.0000,53.85%
0xf0a762c32b8ccf,UP,90198.88,90196.28,2.60,0.0029%,0,40,0.0000,9.2000,9.2000,0.0000,0.0000,0.0000,-9.2000,-100.00%
0xec978dc74990d0,UP,90453.77,90324.01,129.76,0.1437%,0,20,0.0000,2.5000,2.5000,0.0000,0.0000,0.0000,-2.5000,-100.00%
0x55b52878ddbee0,DOWN,90340.00,90472.93,-132.93,-0.1469%,0,10,0.0000,5.5000,5.5000,0.0000,10.0000,10.0000,4.5000,81.82%
0x5efad93055ff33,UP,90374.24,90357.17,17.07,0.0189%,0,20,0.0000,3.5000,3.5000,0.0000,0.0000,0.0000,-3.5000,-100.00%
0x05a0f3423791e5,DOWN,90226.01,90444.72,-218.71,-0.2418%,0,20,0.0000,11.6000,11.6000,0.0000,20.0000,20.0000,8.4000,72.41%
0xb903174b373805,DOWN,90354.86,90364.40,-9.54,-0.0106%,0,70,0.0000,18.7000,18.7000,0.0000,70.0000,70.0000,51.3000,274.33%
0x6994c382cf2552,DOWN,90309.35,90374.67,-65.32,-0.0723%,0,30,0.0000,10.2000,10.2000,0.0000,30.0000,30.0000,19.8000,194.12%
0xb11a179596ba20,DOWN,90290.17,90336.88,-46.71,-0.0517%,0,10,0.0000,6.2000,6.2000,0.0000,10.0000,10.0000,3.8000,61.29%
0x71bacac880f419,DOWN,90278.50,90308.25,-29.75,-0.0329%,0,10,0.0000,4.9000,4.9000,0.0000,10.0000,10.0000,5.1000,104.08%
0x5011fecd7c7422,UP,90201.50,90184.42,17.08,0.0189%,0,100,0.0000,35.1000,35.1000,0.0000,0.0000,0.0000,-35.1000,-100.00%
