marketId,outcome,finalBtcPrice,strikePrice,priceDiff,priceDiffPct,yesShares,noShares,yesCost,noCost,totalCost,yesPayout,noPayout,totalPayout,pnl,roi
0x1b191f32311521,UP,90149.76,90031.27,118.49,0.1316%,10,0,7.7000,0.0000,7.7000,10.0000,0.0000,10.0000,2.3000,29.87%
0x8d8c310223f7f0,UP,90214.08,90155.38,58.70,0.0651%,30,20,18.7000,4.4000,23.1000,30.0000,0.0000,30.0000,6.9000,29.87%
0xc3ab35e6e22de9,UP,90341.96,90199.48,142.48,0.1580%,0,20,0.0000,6.7000,6.7000,0.0000,0.0000,0.0000,-6.7000,-100.00%
0x07d4e905f4b00d,DOWN,90324.34,90340.67,-16.33,-0.0181%,0,70,0.0000,30.2000,30.2000,0.0000,70.0000,70.0000,39.8000,131.79%
0x1c0bc198183cd5,DOWN,90307.16,90358.03,-50.87,-0.0563%,10,50,3.8000,27.0000,30.8000,0.0000,50.0000,50.0000,19.2000,62.34%
0x123868c20e95fd,UP,90341.24,90311.50,29.74,0.0329%,0,30,0.0000,10.5000,10.5000,0.0000,0.0000,0.0000,-10.5000,-100.00%
0x87871ec29aa45c,UP,90328.07,90322.74,5.33,0.0059%,0,30,0.0000,12.6000,12.6000,0.0000,0.0000,0.0000,-12.6000,-100.00%
0xc6712a93802fe7,DOWN,90148.08,90333.99,-185.91,-0.2058%,0,20,0.0000,12.0000,12.0000,0.0000,20.0000,20.0000,8.0000,66.67%
0x77e38113a679ad,UP,90229.91,90155.12,74.79,0.0830%,0,10,0.0000,4.7000,4.7000,0.0000,0.0000,0.0000,-4.7000,-100.00%
0x1190f7be5cd253,DOWN,90277.31,90319.39,-42.08,-0.0466%,10,10,0.6000,6.8000,7.4000,0.0000,10.0000,10.0000,2.6000,35.14%
0x631e445315cfb1,DOWN,90232.77,90286.39,-53.62,-0.0594%,0,40,0.0000,26.1000,26.1000,0.0000,40.0000,40.0000,13.9000,53.26%
0xc818fa17480be4,UP,90285.28,90239.14,46.14,0.0511%,0,10,0.0000,1.2000,1.2000,0.0000,0.0000,0.0000,-1.2000,-100.00%
0xe8f8cafd1c8d66,UP,90326.24,90318.44,7.80,0.0086%,0,30,0.0000,7.6000,7.6000,0.0000,0.0000,0.0000,-7.6000,-100.00%
0xe34554c7fa7429,UP,90384.34,90333.72,50.62,0.0560%,10,30,3.8000,12.0000,15.8000,10.0000,0.0000,10.0000,-5.8000,-36.71%
0x3656dff41fd207,DOWN,90371.81,90396.40,-24.59,-0.0272%,10,70,1.3000,31.2000,32.5000,0.0000,70.0000,70.0000,37.5000,115.38%
