marketId,outcome,finalBtcPrice,strikePrice,priceDiff,priceDiffPct,yesShares,noShares,yesCost,noCost,totalCost,yesPayout,noPayout,totalPayout,pnl,roi
0x1b191f32311521,UP,90149.76,90031.27,118.49,0.1316%,10,0,4.8000,0.0000,4.8000,10.0000,0.0000,10.0000,5.2000,108.33%
0x07d4e905f4b00d,DOWN,90324.34,90340.67,-16.33,-0.0181%,0,50,0.0000,20.9000,20.9000,0.0000,50.0000,50.0000,29.1000,139.23%
0x87871ec29aa45c,UP,90328.07,90322.74,5.33,0.0059%,10,0,4.8000,0.0000,4.8000,10.0000,0.0000,10.0000,5.2000,108.33%
0x631e445315cfb1,DOWN,90232.77,90286.39,-53.62,-0.0594%,0,10,0.0000,6.9000,6.9000,0.0000,10.0000,10.0000,3.1000,44.93%
0xc818fa17480be4,UP,90285.28,90239.14,46.14,0.0511%,0,20,0.0000,8.0000,8.0000,0.0000,0.0000,0.0000,-8.0000,-100.00%
0x3656dff41fd207,DOWN,90371.81,90396.40,-24.59,-0.0272%,0,50,0.0000,21.4000,21.4000,0.0000,50.0000,50.0000,28.6000,133.64%
0xc4119901335ee4,DOWN,90376.38,90388.05,-11.67,-0.0129%,0,40,0.0000,19.1000,19.1000,0.0000,40.0000,40.0000,20.9000,109.42%
0x4bcc44bf1eeff6,DOWN,90351.06,90387.46,-36.40,-0.0403%,0,20,0.0000,13.5000,13.5000,0.0000,20.0000,20.0000,6.5000,48.15%
0x906d25c9660cc6,UP,90342.91,90293.09,49.82,0.0552%,0,30,0.0000,10.9000,10.9000,0.0000,0.0000,0.0000,-10.9000,-100.00%
0xce28c56fb40d53,DOWN,90278.36,90329.37,-51.01,-0.0565%,0,20,0.0000,10.8000,10.8000,0.0000,20.0000,20.0000,9.2000,85.19%
0xcc8ae57c0bfb9f,UP,90351.45,90347.25,4.20,0.0046%,10,40,5.9000,7.6000,13.5000,10.0000,0.0000,10.0000,-3.5000,-25.93%
0x252135811f3106,DOWN,90338.00,90365.92,-27.92,-0.0309%,0,20,0.0000,11.5000,11.5000,0.0000,20.0000,20.0000,8.5000,73.91%
0x046aebe2ce0e7b,UP,90381.94,90349.54,32.40,0.0359%,0,30,0.0000,6.9000,6.9000,0.0000,0.0000,0.0000,-6.9000,-100.00%
0x89dac18bf3f74e,UP,90467.70,90447.69,20.01,0.0221%,10,10,5.8000,6.3000,12.1000,10.0000,0.0000,10.0000,-2.1000,-17.36%
0xa6c1f0ee5d7b49,DOWN,90422.57,90473.69,-51.12,-0.0565%,0,30,0.0000,8.5000,8.5000,0.0000,30.0000,30.0000,21.5000,252.94%
0x288e39695c07dd,DOWN,90595.13,90618.67,-23.54,-0.0260%,0,10,0.0000,7.1000,7.1000,0.0000,10.0000,10.0000,2.9000,40.85%
0x2b610658df2ce2,DOWN,90358.77,90469.99,-111.22,-0.1229%,0,30,0.0000,17.1000,17.1000,0.0000,30.0000,30.0000,12.9000,75.44%
0xbec6a72c156a4d,DOWN,90330.36,90376.43,-46.07,-0.0510%,10,80,4.2000,40.6000,44.8000,0.0000,80.0000,80.0000,35.2000,78.57%
0x83582df4e34347,DOWN,90334.46,90362.84,-28.38,-0.0314%,10,30,5.1000,11.9000,17.0000,0.0000,30.0000,30.0000,13.0000,76.47%
0x4d99cb73c2ac5b,DOWN,90229.99,90355.78,-125.79,-0.1392%,0,30,0.0000,10.9000,10.9000,0.0000,30.0000,30.0000,19.1000,175.23%
0xe74b68ac7f9d31,DOWN,90236.60,90242.79,-6.19,-0.0069%,10,80,4.7000,22.6000,27.3000,0.0000,80.0000,80.0000,52.7000,193.04%
0x1ea9cd3a8fbc1d,DOWN,90102.58,90154.89,-52.31,-0.0580%,0,40,0.0000,20.1000,20.1000,0.0000,40.0000,40.0000,19.9000,99.00%
0x688dc5feb3e0b0,UP,90087.28,90072.29,14.99,0.0166%,0,60,0.0000,5.5000,5.5000,0.0000,0.0000,0.0000,-5.5000,-100.00%
0xaa2c9f97bed3d6,DOWN,90009.12,90086.59,-77.47,-0.0860%,0,10,0.0000,4.8000,4.8000,0.0000,10.0000,10.0000,5.2000,108.33%
0x1fbe25914697e9,DOWN,90161.89,90191.18,-29.29,-0.0325%,10,30,1.6000,17.8000,19.4000,0.0000,30.0000,30.0000,10.6000,54.64%
0x8898f5ca97dcfa,UP,90218.41,90146.45,71.96,0.0798%,10,0,5.8000,0.0000,5.8000,10.0000,0.0000,10.0000,4.2000,72.41%
0x3b0b5ca8902b25,DOWN,90141.80,90165.15,-23.35,-0.0259%,0,70,0.0000,31.3000,31.3000,0.0000,70.0000,70.0000,38.7000,123.64%
0x7e4de3242f8ff3,DOWN,90088.31,90158.71,-70.40,-0.0781%,0,60,0.0000,29.9000,29.9000,0.0000,60.0000,60.0000,30.1000,100.67%
0xb0c78791e8986b,DOWN,89994.84,90109.51,-114.67,-0.1273%,0,30,0.0000,16.3000,16.3000,0.0000,30.0000,30.0000,13.7000,84.05%
0xec4c76e3fcb121,DOWN,89962.32,90018.79,-56.47,-0.0627%,0,40,0.0000,19.6000,19.6000,0.0000,40.0000,40.0000,20.4000,104.08%
0x5d2f539daaf991,UP,90090.36,90072.38,17.98,0.0200%,0,70,0.0000,13.8000,13.8000,0.0000,0.0000,0.0000,-13.8000,-100.00%
0x0dc89aa621d8ab,UP,90183.00,90153.02,29.98,0.0333%,0,60,0.0000,18.8000,18.8000,0.0000,0.0000,0.0000,-18.8000,-100.00%
0x8ca15aa07e0d0c,DOWN,90240.01,90253.24,-13.23,-0.0147%,0,50,0.0000,8.4000,8.4000,0.0000,50.0000,50.0000,41.6000,495.24%
0x8ac6a6a23c9075,UP,90304.71,90293.46,11.25,0.0125%,20,30,5.2000,9.6000,14.8000,20.0000,0.0000,20.0000,5.2000,35.14%
0x55b52878ddbee0,DOWN,90340.00,90472.93,-132.93,-0.1469%,0,10,0.0000,5.5000,5.5000,0.0000,10.0000,10.0000,4.5000,81.82%
0x5efad93055ff33,UP,90374.24,90357.17,17.07,0.0189%,0,20,0.0000,3.5000,3.5000,0.0000,0.0000,0.0000,-3.5000,-100.00%
0x0d17ddb785eb0b,DOWN,90289.96,90312.41,-22.45,-0.0249%,0,40,0.0000,21.4000,21.4000,0.0000,40.0000,40.0000,18.6000,86.92%
0x729edfc4547edc,DOWN,90277.97,90289.58,-11.61,-0.0129%,0,40,0.0000,17.7000,17.7000,0.0000,40.0000,40.0000,22.3000,125.99%
0xd932daa63c6823,UP,90287.97,90279.07,8.90,0.0099%,0,100,0.0000,40.8000,40.8000,0.0000,0.0000,0.0000,-40.8000,-100.00%
0xa1d331fab49899,DOWN,90164.78,90318.41,-153.63,-0.1701%,0,50,0.0000,20.7000,20.7000,0.0000,50.0000,50.0000,29.3000,141.55%
0xc692a8dfb215a3,UP,90158.06,90116.42,41.64,0.0462%,0,40,0.0000,16.8000,16.8000,0.0000,0.0000,0.0000,-16.8000,-100.00%
0x9cf9ac03f8af5a,UP,90199.06,90183.31,15.75,0.0175%,0,60,0.0000,9.2000,9.2000,0.0000,0.0000,0.0000,-9.2000,-100.00%
0x761f840b30024b,UP,90167.93,90127.45,40.48,0.0449%,0,40,0.0000,8.7000,8.7000,0.0000,0.0000,0.0000,-8.7000,-100.00%
0x13d8b76dcc5b3b,DOWN,90145.26,90187.89,-42.63,-0.0473%,0,10,0.0000,5.6000,5.6000,0.0000,10.0000,10.0000,4.4000,78.57%
0x054a402d3e2b20,DOWN,90111.76,90167.24,-55.48,-0.0615%,0,10,0.0000,5.7000,5.7000,0.0000,10.0000,10.0000,4.3000,75.44%
0x12131c737596b9,DOWN,90134.13,90135.55,-1.42,-0.0016%,0,100,0.0000,35.3000,35.3000,0.0000,100.0000,100.0000,64.7000,183.29%
0x246d4f8d1fb6c2,DOWN,90180.00,90223.81,-43.81,-0.0486%,10,40,5.0000,13.1000,18.1000,0.0000,40.0000,40.0000,21.9000,120.99%
0x882f09ef640bc3,DOWN,90166.96,90202.52,-35.56,-0.0394%,0,50,0.0000,23.5000,23.5000,0.0000,50.0000,50.0000,26.5000,112.77%
0x313be56ce6edc5,DOWN,90086.33,90130.37,-44.04,-0.0489%,0,100,0.0000,42.1000,42.1000,0.0000,100.0000,100.0000,57.9000,137.53%
0x68b858906726fc,DOWN,89322.76,89377.92,-55.16,-0.0617%,0,10,0.0000,5.3000,5.3000,0.0000,10.0000,10.0000,4.7000,88.68%
0xb440f6bcdb54c1,DOWN,89350.85,89508.01,-157.16,-0.1756%,0,10,0.0000,4.5000,4.5000,0.0000,10.0000,10.0000,5.5000,122.22%
0xd3a82154581d54,UP,89118.04,88992.69,125.35,0.1409%,10,20,3.5000,7.0000,10.5000,10.0000,0.0000,10.0000,-0.5000,-4.76%
0xf3b014d8c8bb7c,DOWN,89018.08,89028.66,-10.58,-0.0119%,10,20,0.8000,8.4000,9.2000,0.0000,20.0000,20.0000,10.8000,117.39%
0xd5f2fec29575bd,UP,88836.98,88831.39,5.59,0.0063%,10,10,2.9000,4.8000,7.7000,10.0000,0.0000,10.0000,2.3000,29.87%
0x460aeab87bdd79,DOWN,88685.36,88839.39,-154.03,-0.1734%,0,30,0.0000,7.2000,7.2000,0.0000,30.0000,30.0000,22.8000,316.67%
0xf0e80d00d5f94a,UP,88782.71,88701.92,80.79,0.0911%,10,10,4.7000,4.8000,9.5000,10.0000,0.0000,10.0000,0.5000,5.26%
0xa001bea0ecead3,UP,88810.67,88785.66,25.01,0.0282%,0,10,0.0000,0.9000,0.9000,0.0000,0.0000,0.0000,-0.9000,-100.00%
0x9de4110eeffd1b,DOWN,88602.50,88725.90,-123.40,-0.1391%,0,20,0.0000,9.2000,9.2000,0.0000,20.0000,20.0000,10.8000,117.39%
0xff3315a66e6b7c,DOWN,88658.53,88812.61,-154.08,-0.1735%,0,10,0.0000,6.8000,6.8000,0.0000,10.0000,10.0000,3.2000,47.06%
0x1a869cddff2ca1,DOWN,88535.89,88600.48,-64.59,-0.0729%,0,20,0.0000,9.8000,9.8000,0.0000,20.0000,20.0000,10.2000,104.08%
0x1e9d0f10dad682,UP,88506.92,88461.85,45.07,0.0510%,10,20,6.2000,1.9000,8.1000,10.0000,0.0000,10.0000,1.9000,23.46%
0x8954a4160d9559,DOWN,88174.73,88390.68,-215.95,-0.2443%,0,20,0.0000,12.2000,12.2000,0.0000,20.0000,20.0000,7.8000,63.93%
0x375215ef11c7d3,UP,88465.90,88265.73,200.17,0.2268%,10,10,5.0000,3.9000,8.9000,10.0000,0.0000,10.0000,1.1000,12.36%
0xc690beace75740,UP,89381.58,89326.50,55.08,0.0617%,20,40,9.5000,9.0000,18.5000,20.0000,0.0000,20.0000,1.5000,8.11%
0x199e5df8228e98,UP,89569.36,89505.79,63.57,0.0710%,10,0,6.5000,0.0000,6.5000,10.0000,0.0000,10.0000,3.5000,53.85%
0xb5259e415da4c8,UP,89869.06,89829.18,39.88,0.0444%,30,10,10.8000,6.0000,16.8000,30.0000,0.0000,30.0000,13.2000,78.57%
0x09cb05bf1a96c9,UP,89573.13,89466.32,106.81,0.1194%,10,0,5.9000,0.0000,5.9000,10.0000,0.0000,10.0000,4.1000,69.49%
0x07535580ac19b5,UP,89748.61,89576.72,171.89,0.1919%,10,0,6.6000,0.0000,6.6000,10.0000,0.0000,10.0000,3.4000,51.52%
0xcc6e9f0a5993b9,UP,89470.15,89460.62,9.53,0.0107%,10,20,4.2000,6.6000,10.8000,10.0000,0.0000,10.0000,-0.8000,-7.41%
0xf3b2007bee0711,DOWN,89390.19,89601.62,-211.43,-0.2360%,10,10,3.8000,3.5000,7.3000,0.0000,10.0000,10.0000,2.7000,36.99%
0xd0cf282b3aa5cd,DOWN,89261.77,89394.41,-132.64,-0.1484%,10,0,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,-8.0000,-100.00%
0x655f3e38670a5c,DOWN,88050.01,89262.53,-1212.52,-1.3584%,0,20,0.0000,12.1000,12.1000,0.0000,20.0000,20.0000,7.9000,65.29%
0xee6c50ed554030,DOWN,87476.92,88051.55,-574.63,-0.6526%,20,30,5.7000,16.1000,21.8000,0.0000,30.0000,30.0000,8.2000,37.61%
0x0be2de6a60a95a,UP,86910.81,86885.04,25.77,0.0297%,0,10,0.0000,1.3000,1.3000,0.0000,0.0000,0.0000,-1.3000,-100.00%
0x584d188169f352,UP,85889.15,85748.30,140.85,0.1643%,10,0,3.7000,0.0000,3.7000,10.0000,0.0000,10.0000,6.3000,170.27%
0xce606626b865ab,DOWN,86015.61,86053.88,-38.27,-0.0445%,10,10,4.1000,2.7000,6.8000,0.0000,10.0000,10.0000,3.2000,47.06%
0x10a23286fba499,UP,86243.78,86002.72,241.06,0.2803%,10,0,5.6000,0.0000,5.6000,10.0000,0.0000,10.0000,4.4000,78.57%
0x5eb71a6f5fb667,DOWN,86019.97,86027.79,-7.82,-0.0091%,40,10,10.2000,7.0000,17.2000,0.0000,10.0000,10.0000,-7.2000,-41.86%
0xd3d9aa0b4fcd14,UP,86045.93,86001.26,44.67,0.0519%,10,10,3.8000,0.7000,4.5000,10.0000,0.0000,10.0000,5.5000,122.22%
0x224d99f92f8291,UP,86259.31,86018.80,240.51,0.2796%,20,0,8.8000,0.0000,8.8000,20.0000,0.0000,20.0000,11.2000,127.27%
0xa8656c115eb58d,UP,86472.70,86214.73,257.97,0.2992%,10,0,6.3000,0.0000,6.3000,10.0000,0.0000,10.0000,3.7000,58.73%
0x17ef602f9fa587,DOWN,86432.08,86449.26,-17.18,-0.0199%,30,0,4.8000,0.0000,4.8000,0.0000,0.0000,0.0000,-4.8000,-100.00%
0x2ad1b4e950588f,DOWN,86323.21,86419.84,-96.63,-0.1118%,0,10,0.0000,6.9000,6.9000,0.0000,10.0000,10.0000,3.1000,44.93%
0xfd640fbb7441db,UP,86097.77,85853.92,243.85,0.2840%,10,10,5.5000,4.9000,10.4000,10.0000,0.0000,10.0000,-0.4000,-3.85%
0x5337b58a2d4494,UP,85891.02,85829.52,61.50,0.0716%,10,0,4.4000,0.0000,4.4000,10.0000,0.0000,10.0000,5.6000,127.27%
