marketId,outcome,finalBtcPrice,strikePrice,priceDiff,priceDiffPct,yesShares,noShares,yesCost,noCost,totalCost,yesPayout,noPayout,totalPayout,pnl,roi
0x07d4e905f4b00d,DOWN,90324.34,90340.67,-16.33,-0.0181%,0,30,0.0000,12.9000,12.9000,0.0000,30.0000,30.0000,17.1000,132.56%
0xda2a79bdfd6a5a,DOWN,90335.92,90340.44,-4.52,-0.0050%,10,10,1.3000,5.7000,7.0000,0.0000,10.0000,10.0000,3.0000,42.86%
0x9f39cca9787ef8,DOWN,90323.01,90326.83,-3.82,-0.0042%,10,0,1.7000,0.0000,1.7000,0.0000,0.0000,0.0000,-1.7000,-100.00%
0xc6712a93802fe7,DOWN,90148.08,90333.99,-185.91,-0.2058%,0,10,0.0000,6.5000,6.5000,0.0000,10.0000,10.0000,3.5000,53.85%
0xc4119901335ee4,DOWN,90376.38,90388.05,-11.67,-0.0129%,0,30,0.0000,13.5000,13.5000,0.0000,30.0000,30.0000,16.5000,122.22%
0x602a4026f01ff0,DOWN,90311.12,90355.15,-44.03,-0.0487%,0,20,0.0000,9.3000,9.3000,0.0000,20.0000,20.0000,10.7000,115.05%
0x046aebe2ce0e7b,UP,90381.94,90349.54,32.40,0.0359%,0,20,0.0000,3.3000,3.3000,0.0000,0.0000,0.0000,-3.3000,-100.00%
0x288e39695c07dd,DOWN,90595.13,90618.67,-23.54,-0.0260%,0,10,0.0000,7.1000,7.1000,0.0000,10.0000,10.0000,2.9000,40.85%
0xbec6a72c156a4d,DOWN,90330.36,90376.43,-46.07,-0.0510%,10,60,4.2000,31.4000,35.6000,0.0000,60.0000,60.0000,24.4000,68.54%
0xf8463873929830,UP,90427.88,90355.53,72.35,0.0801%,0,10,0.0000,3.3000,3.3000,0.0000,0.0000,0.0000,-3.3000,-100.00%
0x4dd0a7de73e2ee,DOWN,90295.00,90344.07,-49.07,-0.0543%,10,40,6.0000,13.7000,19.7000,0.0000,40.0000,40.0000,20.3000,103.05%
0x8e595ec31cd08e,UP,90341.05,90320.11,20.94,0.0232%,0,30,0.0000,9.3000,9.3000,0.0000,0.0000,0.0000,-9.3000,-100.00%
0xe74b68ac7f9d31,DOWN,90236.60,90242.79,-6.19,-0.0069%,0,30,0.0000,7.6000,7.6000,0.0000,30.0000,30.0000,22.4000,294.74%
0x41261501c4d74b,DOWN,90245.87,90249.62,-3.75,-0.0042%,0,50,0.0000,8.0000,8.0000,0.0000,50.0000,50.0000,42.0000,525.00%
0xa1f90c890efcc7,DOWN,90050.01,90092.31,-42.30,-0.0469%,0,20,0.0000,9.6000,9.6000,0.0000,20.0000,20.0000,10.4000,108.33%
0x688dc5feb3e0b0,UP,90087.28,90072.29,14.99,0.0166%,0,20,0.0000,1.5000,1.5000,0.0000,0.0000,0.0000,-1.5000,-100.00%
0x1a25ddd79a2bad,DOWN,90140.01,90169.53,-29.52,-0.0327%,0,10,0.0000,2.5000,2.5000,0.0000,10.0000,10.0000,7.5000,300.00%
0x1e996dfedc8969,DOWN,90137.53,90176.01,-38.48,-0.0427%,0,10,0.0000,4.8000,4.8000,0.0000,10.0000,10.0000,5.2000,108.33%
0x7e4de3242f8ff3,DOWN,90088.31,90158.71,-70.40,-0.0781%,0,10,0.0000,2.0000,2.0000,0.0000,10.0000,10.0000,8.0000,400.00%
0xec4c76e3fcb121,DOWN,89962.32,90018.79,-56.47,-0.0627%,0,10,0.0000,4.7000,4.7000,0.0000,10.0000,10.0000,5.3000,112.77%
0x9450de317d91e7,DOWN,90051.92,90187.39,-135.47,-0.1502%,10,20,4.7000,8.3000,13.0000,0.0000,20.0000,20.0000,7.0000,53.85%
0xf0a762c32b8ccf,UP,90198.88,90196.28,2.60,0.0029%,0,30,0.0000,5.6000,5.6000,0.0000,0.0000,0.0000,-5.6000,-100.00%
0xec978dc74990d0,UP,90453.77,90324.01,129.76,0.1437%,0,20,0.0000,2.5000,2.5000,0.0000,0.0000,0.0000,-2.5000,-100.00%
0x55b52878ddbee0,DOWN,90340.00,90472.93,-132.93,-0.1469%,0,10,0.0000,5.5000,5.5000,0.0000,10.0000,10.0000,4.5000,81.82%
0x5efad93055ff33,UP,90374.24,90357.17,17.07,0.0189%,0,20,0.0000,3.5000,3.5000,0.0000,0.0000,0.0000,-3.5000,-100.00%
0x05a0f3423791e5,DOWN,90226.01,90444.72,-218.71,-0.2418%,0,10,0.0000,4.5000,4.5000,0.0000,10.0000,10.0000,5.5000,122.22%
0xb903174b373805,DOWN,90354.86,90364.40,-9.54,-0.0106%,0,60,0.0000,13.6000,13.6000,0.0000,60.0000,60.0000,46.4000,341.18%
0x6994c382cf2552,DOWN,90309.35,90374.67,-65.32,-0.0723%,0,20,0.0000,6.4000,6.4000,0.0000,20.0000,20.0000,13.6000,212.50%
0xb11a179596ba20,DOWN,90290.17,90336.88,-46.71,-0.0517%,0,10,0.0000,6.2000,6.2000,0.0000,10.0000,10.0000,3.8000,61.29%
0x71bacac880f419,DOWN,90278.50,90308.25,-29.75,-0.0329%,0,10,0.0000,4.9000,4.9000,0.0000,10.0000,10.0000,5.1000,104.08%
0x5011fecd7c7422,UP,90201.50,90184.42,17.08,0.0189%,0,50,0.0000,8.6000,8.6000,0.0000,0.0000,0.0000,-8.6000,-100.00%
0x761f840b30024b,UP,90167.93,90127.45,40.48,0.0449%,0,30,0.0000,8.1000,8.1000,0.0000,0.0000,0.0000,-8.1000,-100.00%
0xce7bce2bbfb8cd,DOWN,90202.00,90256.63,-54.63,-0.0605%,0,40,0.0000,18.9000,18.9000,0.0000,40.0000,40.0000,21.1000,111.64%
0x882f09ef640bc3,DOWN,90166.96,90202.52,-35.56,-0.0394%,0,20,0.0000,9.2000,9.2000,0.0000,20.0000,20.0000,10.8000,117.39%
0xf2a8fe466e8035,DOWN,90084.36,90110.95,-26.59,-0.0295%,0,80,0.0000,39.6000,39.6000,0.0000,80.0000,80.0000,40.4000,102.02%
0x163b859f6d47ab,DOWN,89802.55,90034.22,-231.67,-0.2573%,0,10,0.0000,4.1000,4.1000,0.0000,10.0000,10.0000,5.9000,143.90%
0x6e67e1e359a7a0,UP,89989.03,89836.00,153.03,0.1703%,0,10,0.0000,3.0000,3.0000,0.0000,0.0000,0.0000,-3.0000,-100.00%
0x8dc014334a3bcb,DOWN,89853.69,89935.53,-81.84,-0.0910%,0,10,0.0000,5.4000,5.4000,0.0000,10.0000,10.0000,4.6000,85.19%
0xc38599f19a96da,UP,89280.46,89260.34,20.12,0.0225%,0,10,0.0000,6.6000,6.6000,0.0000,0.0000,0.0000,-6.6000,-100.00%
0x4abd021b005dc7,DOWN,89276.44,89287.33,-10.89,-0.0122%,10,30,3.8000,10.3000,14.1000,0.0000,30.0000,30.0000,15.9000,112.77%
0x1c6283407e8276,DOWN,89279.99,89362.90,-82.91,-0.0928%,0,10,0.0000,5.3000,5.3000,0.0000,10.0000,10.0000,4.7000,88.68%
0xd3a82154581d54,UP,89118.04,88992.69,125.35,0.1409%,10,20,3.5000,7.0000,10.5000,10.0000,0.0000,10.0000,-0.5000,-4.76%
0xcdb84421b86a2d,DOWN,89015.96,89123.48,-107.52,-0.1206%,0,30,0.0000,14.6000,14.6000,0.0000,30.0000,30.0000,15.4000,105.48%
0xe8ed73f2093b3f,UP,89064.60,89025.72,38.88,0.0437%,10,0,3.8000,0.0000,3.8000,10.0000,0.0000,10.0000,6.2000,163.16%
0xf30988b9ab0daf,UP,88891.19,88795.54,95.65,0.1077%,10,0,5.7000,0.0000,5.7000,10.0000,0.0000,10.0000,4.3000,75.44%
0x9de4110eeffd1b,DOWN,88602.50,88725.90,-123.40,-0.1391%,0,10,0.0000,4.0000,4.0000,0.0000,10.0000,10.0000,6.0000,150.00%
0x64888191318af7,UP,88644.88,88617.35,27.53,0.0311%,10,0,5.0000,0.0000,5.0000,10.0000,0.0000,10.0000,5.0000,100.00%
0x1a869cddff2ca1,DOWN,88535.89,88600.48,-64.59,-0.0729%,0,10,0.0000,5.5000,5.5000,0.0000,10.0000,10.0000,4.5000,81.82%
0x1e9d0f10dad682,UP,88506.92,88461.85,45.07,0.0510%,10,10,6.2000,0.7000,6.9000,10.0000,0.0000,10.0000,3.1000,44.93%
0xea6513a3d8e667,UP,88605.32,88470.14,135.18,0.1528%,0,10,0.0000,3.4000,3.4000,0.0000,0.0000,0.0000,-3.4000,-100.00%
