marketId,outcome,finalBtcPrice,strikePrice,priceDiff,priceDiffPct,yesShares,noShares,yesCost,noCost,totalCost,yesPayout,noPayout,totalPayout,pnl,roi
0x044b08c7212dd4,DOWN,90020.49,90045.84,-25.35,-0.0282%,0,10,0.0000,5.0000,5.0000,0.0000,10.0000,10.0000,5.0000,100.00%
0xc3ab35e6e22de9,UP,90341.96,90199.48,142.48,0.1580%,0,20,0.0000,6.7000,6.7000,0.0000,0.0000,0.0000,-6.7000,-100.00%
0x07d4e905f4b00d,DOWN,90324.34,90340.67,-16.33,-0.0181%,0,70,0.0000,30.2000,30.2000,0.0000,70.0000,70.0000,39.8000,131.79%
0xda2a79bdfd6a5a,DOWN,90335.92,90340.44,-4.52,-0.0050%,20,20,2.0000,13.0000,15.0000,0.0000,20.0000,20.0000,5.0000,33.33%
0xb2b015adfedb06,UP,90360.39,90326.66,33.73,0.0373%,0,10,0.0000,5.4000,5.4000,0.0000,0.0000,0.0000,-5.4000,-100.00%
0x4ba3d5ad3d1be1,DOWN,90268.42,90371.32,-102.90,-0.1139%,0,20,0.0000,13.7000,13.7000,0.0000,20.0000,20.0000,6.3000,45.99%
0x123868c20e95fd,UP,90341.24,90311.50,29.74,0.0329%,0,30,0.0000,10.5000,10.5000,0.0000,0.0000,0.0000,-10.5000,-100.00%
0x9f39cca9787ef8,DOWN,90323.01,90326.83,-3.82,-0.0042%,10,0,1.7000,0.0000,1.7000,0.0000,0.0000,0.0000,-1.7000,-100.00%
0x87871ec29aa45c,UP,90328.07,90322.74,5.33,0.0059%,0,30,0.0000,12.6000,12.6000,0.0000,0.0000,0.0000,-12.6000,-100.00%
0xc6712a93802fe7,DOWN,90148.08,90333.99,-185.91,-0.2058%,0,20,0.0000,12.0000,12.0000,0.0000,20.0000,20.0000,8.0000,66.67%
0x1190f7be5cd253,DOWN,90277.31,90319.39,-42.08,-0.0466%,10,10,0.6000,6.8000,7.4000,0.0000,10.0000,10.0000,2.6000,35.14%
0xc818fa17480be4,UP,90285.28,90239.14,46.14,0.0511%,0,10,0.0000,1.2000,1.2000,0.0000,0.0000,0.0000,-1.2000,-100.00%
0xe8f8cafd1c8d66,UP,90326.24,90318.44,7.80,0.0086%,0,30,0.0000,7.6000,7.6000,0.0000,0.0000,0.0000,-7.6000,-100.00%
0xc4119901335ee4,DOWN,90376.38,90388.05,-11.67,-0.0129%,0,100,0.0000,53.5000,53.5000,0.0000,100.0000,100.0000,46.5000,86.92%
0x602a4026f01ff0,DOWN,90311.12,90355.15,-44.03,-0.0487%,0,50,0.0000,27.3000,27.3000,0.0000,50.0000,50.0000,22.7000,83.15%
0xc04c3e2a66fae2,UP,90332.93,90292.76,40.17,0.0445%,0,100,0.0000,38.1000,38.1000,0.0000,0.0000,0.0000,-38.1000,-100.00%
0x046aebe2ce0e7b,UP,90381.94,90349.54,32.40,0.0359%,0,40,0.0000,11.4000,11.4000,0.0000,0.0000,0.0000,-11.4000,-100.00%
0x4d284a666e65ee,DOWN,90354.07,90392.96,-38.89,-0.0430%,0,10,0.0000,5.3000,5.3000,0.0000,10.0000,10.0000,4.7000,88.68%
0xacd122c0a313c1,UP,90513.80,90485.44,28.36,0.0313%,0,20,0.0000,2.2000,2.2000,0.0000,0.0000,0.0000,-2.2000,-100.00%
0x288e39695c07dd,DOWN,90595.13,90618.67,-23.54,-0.0260%,0,20,0.0000,13.0000,13.0000,0.0000,20.0000,20.0000,7.0000,53.85%
0x03e193be426727,DOWN,90543.72,90604.09,-60.37,-0.0666%,0,30,0.0000,16.6000,16.6000,0.0000,30.0000,30.0000,13.4000,80.72%
0xbec6a72c156a4d,DOWN,90330.36,90376.43,-46.07,-0.0510%,10,100,4.2000,46.7000,50.9000,0.0000,100.0000,100.0000,49.1000,96.46%
0xf8463873929830,UP,90427.88,90355.53,72.35,0.0801%,0,20,0.0000,6.7000,6.7000,0.0000,0.0000,0.0000,-6.7000,-100.00%
0x4dd0a7de73e2ee,DOWN,90295.00,90344.07,-49.07,-0.0543%,10,90,6.0000,21.0000,27.0000,0.0000,90.0000,90.0000,63.0000,233.33%
0x8e595ec31cd08e,UP,90341.05,90320.11,20.94,0.0232%,0,100,0.0000,35.5000,35.5000,0.0000,0.0000,0.0000,-35.5000,-100.00%
0xe74b68ac7f9d31,DOWN,90236.60,90242.79,-6.19,-0.0069%,0,90,0.0000,31.6000,31.6000,0.0000,90.0000,90.0000,58.4000,184.81%
0x41261501c4d74b,DOWN,90245.87,90249.62,-3.75,-0.0042%,0,80,0.0000,22.1000,22.1000,0.0000,80.0000,80.0000,57.9000,261.99%
0x51f9210bc9566f,DOWN,89961.12,90309.73,-348.61,-0.3860%,0,40,0.0000,27.5000,27.5000,0.0000,40.0000,40.0000,12.5000,45.45%
