id,timestamp,datetime,marketId,side,action,price,size,cost,fairValue,edge,edgePct,btcPrice,strike,timeRemainingMin
trade_1,1765571227000,2025-12-12T20:27:07.000Z,0x044b08c7212dd4,NO,BUY,0.5000,10,5.0000,0.6233,0.1233,12.33%,90028.28,90045.84,2.9
trade_2,1765577050000,2025-12-12T22:04:10.000Z,0xc3ab35e6e22de9,NO,BUY,0.3000,10,3.0000,0.3736,0.0736,7.36%,90224.84,90199.48,10.8
trade_3,1765577111000,2025-12-12T22:05:11.000Z,0xc3ab35e6e22de9,NO,BUY,0.3700,10,3.7000,0.4747,0.1047,10.47%,90203.94,90199.48,9.8
trade_4,1765578615000,2025-12-12T22:30:15.000Z,0x07d4e905f4b00d,NO,BUY,0.5600,10,5.6000,0.6594,0.0994,9.94%,90302.01,90340.67,14.8
trade_5,1765578911000,2025-12-12T22:35:11.000Z,0x07d4e905f4b00d,NO,BUY,0.3600,10,3.6000,0.5102,0.1502,15.02%,90338.92,90340.67,9.8
trade_6,1765579089000,2025-12-12T22:38:09.000Z,0x07d4e905f4b00d,NO,BUY,0.3700,10,3.7000,0.4620,0.0920,9.20%,90346.41,90340.67,6.8
trade_7,1765579149000,2025-12-12T22:39:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4400,10,4.4000,0.6086,0.1686,16.86%,90324.60,90340.67,5.8
trade_8,1765579269000,2025-12-12T22:41:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4000,10,4.0000,0.6267,0.2267,22.67%,90325.09,90340.67,3.9
trade_9,1765579389000,2025-12-12T22:43:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4600,10,4.6000,0.6470,0.1870,18.70%,90327.98,90340.67,1.9
trade_10,1765579449000,2025-12-12T22:44:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4300,10,4.3000,0.7470,0.3170,31.70%,90324.34,90340.67,0.8
trade_11,1765579630000,2025-12-12T22:47:10.000Z,0xda2a79bdfd6a5a,NO,BUY,0.5700,10,5.7000,0.7617,0.1917,19.17%,90270.75,90340.44,12.8
trade_12,1765580049000,2025-12-12T22:54:09.000Z,0xda2a79bdfd6a5a,NO,BUY,0.7300,10,7.3000,0.8477,0.1177,11.77%,90268.12,90340.44,5.8
trade_13,1765580290000,2025-12-12T22:58:10.000Z,0xda2a79bdfd6a5a,YES,BUY,0.0700,10,0.7000,0.1726,0.1026,10.26%,90304.07,90340.44,1.8
trade_14,1765580349000,2025-12-12T22:59:09.000Z,0xda2a79bdfd6a5a,YES,BUY,0.1300,10,1.3000,0.4171,0.2871,28.71%,90335.92,90340.44,0.8
trade_15,1765582212000,2025-12-12T23:30:12.000Z,0xb2b015adfedb06,NO,BUY,0.5400,10,5.4000,0.6344,0.0944,9.44%,90300.31,90326.66,14.8
trade_16,1765583170000,2025-12-12T23:46:10.000Z,0x4ba3d5ad3d1be1,NO,BUY,0.6200,10,6.2000,0.7428,0.1228,12.28%,90323.93,90371.32,13.8
trade_17,1765583530000,2025-12-12T23:52:10.000Z,0x4ba3d5ad3d1be1,NO,BUY,0.7500,10,7.5000,0.8265,0.0765,7.65%,90315.64,90371.32,7.8
trade_18,1765585929000,2025-12-13T00:32:09.000Z,0x123868c20e95fd,NO,BUY,0.4400,10,4.4000,0.5592,0.1192,11.92%,90300.00,90311.50,12.8
trade_19,1765586410000,2025-12-13T00:40:10.000Z,0x123868c20e95fd,NO,BUY,0.3400,10,3.4000,0.4258,0.0858,8.58%,90320.53,90311.50,4.8
trade_20,1765586529000,2025-12-13T00:42:09.000Z,0x123868c20e95fd,NO,BUY,0.2700,10,2.7000,0.3783,0.1083,10.83%,90323.35,90311.50,2.9
trade_21,1765588447000,2025-12-13T01:14:07.000Z,0x9f39cca9787ef8,YES,BUY,0.1700,10,1.7000,0.3913,0.2213,22.13%,90323.01,90326.83,0.9
trade_22,1765589047000,2025-12-13T01:24:07.000Z,0x87871ec29aa45c,NO,BUY,0.5400,10,5.4000,0.6103,0.0703,7.03%,90313.76,90322.74,5.9
trade_23,1765589110000,2025-12-13T01:25:10.000Z,0x87871ec29aa45c,NO,BUY,0.4700,10,4.7000,0.5585,0.0885,8.85%,90318.66,90322.74,4.8
trade_24,1765589347000,2025-12-13T01:29:07.000Z,0x87871ec29aa45c,NO,BUY,0.2500,10,2.5000,0.3381,0.0881,8.81%,90328.07,90322.74,0.9
trade_25,1765589769000,2025-12-13T01:36:09.000Z,0xc6712a93802fe7,NO,BUY,0.5500,10,5.5000,0.6691,0.1191,11.91%,90317.23,90333.99,8.8
trade_26,1765589829000,2025-12-13T01:37:09.000Z,0xc6712a93802fe7,NO,BUY,0.6500,10,6.5000,0.9531,0.3031,30.31%,90200.00,90333.99,7.8
trade_27,1765593070000,2025-12-13T02:31:10.000Z,0x1190f7be5cd253,NO,BUY,0.6800,10,6.8000,0.7713,0.0913,9.13%,90250.32,90319.39,13.8
trade_28,1765593790000,2025-12-13T02:43:10.000Z,0x1190f7be5cd253,YES,BUY,0.0600,10,0.6000,0.1844,0.1244,12.44%,90292.71,90319.39,1.8
