id,timestamp,datetime,marketId,side,action,price,size,cost,fairValue,edge,edgePct,btcPrice,strike,timeRemainingMin
trade_1,1765579269000,2025-12-12T22:41:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4000,10,4.0000,0.6267,0.2267,22.67%,90325.09,90340.67,3.9
trade_2,1765579389000,2025-12-12T22:43:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4600,10,4.6000,0.6470,0.1870,18.70%,90327.98,90340.67,1.9
trade_3,1765579449000,2025-12-12T22:44:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4300,10,4.3000,0.7470,0.3170,31.70%,90324.34,90340.67,0.8
trade_4,1765579630000,2025-12-12T22:47:10.000Z,0xda2a79bdfd6a5a,NO,BUY,0.5700,10,5.7000,0.7617,0.1917,19.17%,90270.75,90340.44,12.8
trade_5,1765580349000,2025-12-12T22:59:09.000Z,0xda2a79bdfd6a5a,YES,BUY,0.1300,10,1.3000,0.4171,0.2871,28.71%,90335.92,90340.44,0.8
trade_6,1765588447000,2025-12-13T01:14:07.000Z,0x9f39cca9787ef8,YES,BUY,0.1700,10,1.7000,0.3913,0.2213,22.13%,90323.01,90326.83,0.9
trade_7,1765589829000,2025-12-13T01:37:09.000Z,0xc6712a93802fe7,NO,BUY,0.6500,10,6.5000,0.9531,0.3031,30.31%,90200.00,90333.99,7.8
trade_8,1765602727000,2025-12-13T05:12:07.000Z,0xc4119901335ee4,NO,BUY,0.5200,10,5.2000,0.7263,0.2063,20.63%,90372.02,90388.05,2.9
trade_9,1765602792000,2025-12-13T05:13:12.000Z,0xc4119901335ee4,NO,BUY,0.5200,10,5.2000,0.7124,0.1924,19.24%,90376.38,90388.05,1.8
trade_10,1765602848000,2025-12-13T05:14:08.000Z,0xc4119901335ee4,NO,BUY,0.3100,10,3.1000,0.7778,0.4678,46.78%,90376.38,90388.05,0.9
trade_11,1765605789000,2025-12-13T06:03:09.000Z,0x602a4026f01ff0,NO,BUY,0.4200,10,4.2000,0.6753,0.2553,25.53%,90333.20,90355.15,11.8
