id,timestamp,datetime,marketId,side,action,price,size,cost,fairValue,edge,edgePct,btcPrice,strike,timeRemainingMin
trade_1,1765578911000,2025-12-12T22:35:11.000Z,0x07d4e905f4b00d,NO,BUY,0.3600,10,3.6000,0.5102,0.1502,15.02%,90338.92,90340.67,9.8
trade_2,1765579149000,2025-12-12T22:39:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4400,10,4.4000,0.6086,0.1686,16.86%,90324.60,90340.67,5.8
trade_3,1765579269000,2025-12-12T22:41:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4000,10,4.0000,0.6267,0.2267,22.67%,90325.09,90340.67,3.9
trade_4,1765579389000,2025-12-12T22:43:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4600,10,4.6000,0.6470,0.1870,18.70%,90327.98,90340.67,1.9
trade_5,1765579449000,2025-12-12T22:44:09.000Z,0x07d4e905f4b00d,NO,BUY,0.4300,10,4.3000,0.7470,0.3170,31.70%,90324.34,90340.67,0.8
trade_6,1765579630000,2025-12-12T22:47:10.000Z,0xda2a79bdfd6a5a,NO,BUY,0.5700,10,5.7000,0.7617,0.1917,19.17%,90270.75,90340.44,12.8
trade_7,1765580349000,2025-12-12T22:59:09.000Z,0xda2a79bdfd6a5a,YES,BUY,0.1300,10,1.3000,0.4171,0.2871,28.71%,90335.92,90340.44,0.8
trade_8,1765588447000,2025-12-13T01:14:07.000Z,0x9f39cca9787ef8,YES,BUY,0.1700,10,1.7000,0.3913,0.2213,22.13%,90323.01,90326.83,0.9
trade_9,1765589829000,2025-12-13T01:37:09.000Z,0xc6712a93802fe7,NO,BUY,0.6500,10,6.5000,0.9531,0.3031,30.31%,90200.00,90333.99,7.8
trade_10,1765599967000,2025-12-13T04:26:07.000Z,0xe8f8cafd1c8d66,NO,BUY,0.1100,10,1.1000,0.2646,0.1546,15.46%,90339.51,90318.44,3.9
trade_11,1765600027000,2025-12-13T04:27:07.000Z,0xe8f8cafd1c8d66,NO,BUY,0.1000,10,1.0000,0.2316,0.1316,13.16%,90340.18,90318.44,2.9
